song_ID,title,singer,total,senti_ID
0,心酸,林宥嘉,11248,0.6428571428571429
1,悲伤的梦,窦唯,3563,0.9166666666666666
2,恋人未满,S.H.E,5473,0.75
3,风吹麦浪,李健，孙俪,4831,1.0
4,煎熬,李佳薇,36011,0.5714285714285714
5,我很快乐,刘惜君,52740,0.9285714285714286
6,忆似故人曲,江南诚，鸦青,3230,0.7857142857142857
7,她（电视剧《哦！我的皇帝陛下》插曲）,廖俊涛,14273,0.8666666666666667
8,不说（电影《从你的全世界路过》路过版主题曲）,李荣浩,58212,0.8
9,柠檬草的味道,蔡依林,4952,0.6666666666666666
10,Can't Breathe,Eddie Supa，王嘉尔，Stan Sono,11121,0.8571428571428571
11,米店,张玮玮和郭龙,18622,0.8666666666666667
12,暧昧,薛之谦,374463,0.9333333333333333
13,你看到的我是蓝色的,李霄云,11676,0.8666666666666667
14,背叛,曹格,2163,0.6
15,一人,七修远,7169,0.9285714285714286
16,半夏青春,任然,1450,0.6666666666666666
17,我想,余佳运,34994,1.0
18,Over That,Emily Vaughn,3674,0.8666666666666667
19,心动,陈洁仪,50638,1.0
20,望,小时,10868,1.0
21,阴天,莫文蔚,30642,0.9090909090909091
22,一列绿皮（The Train）,伏仪,2812,0.8181818181818182
23,和你,余佳运,16106,0.75
24,涩,纣王老胡,40907,0.9230769230769231
25,戒烟,李荣浩,67363,0.8
26,傻子,林宥嘉,10907,0.7333333333333333
27,MOOD,孟佳，王嘉尔,3882,0.6428571428571429
28,拥抱,徐秉龙,24027,0.8461538461538461
29,左右手,张国荣,11187,0.6923076923076923
30,要幸福啊,蔡淳佳,1689,0.8571428571428571
31,借我,谢春花,132913,1.0
32,淘汰,陈奕迅,52563,0.7857142857142857
33,两个人不等于我们,王力宏,2883,0.8
34,Doobie Funk,丁少华，Mr Talkbox,1418,0.9333333333333333
35,矜持,王菲,23556,0.9090909090909091
36,The Wave,R3hab，Lia Marie Johnson,4336,1.0
37,爱夏,胡夏,10529,1.0
38,自渡,陈粒,11139,0.9285714285714286
39,当你,林俊杰,61334,0.8
40,地尽头,关淑怡,14824,0.3333333333333333
41,剑饮星川,小曲儿,1537,0.8333333333333334
42,恋风恋歌,刘惜君,3254,0.7692307692307693
43,Look4You,Alberto Ciccarini,9232,0.7333333333333333
44,吴哥窟,吴雨霏,30010,0.8571428571428571
45,知足,五月天,23474,0.8666666666666667
46,她,王威,10201,0.9285714285714286
47,霁夜茶,小曲儿,6694,0.5833333333333334
48,浅醉一生（电影《喋血双雄》主题曲）,叶蒨文,1713,0.7333333333333333
49,不找了,郭旭,231811,0.7142857142857143
50,失恋,草蜢,19465,0.8
51,Palmtree (Original),Mandelbarth,11918,0.8
52,一丝不挂,陈奕迅,37080,0.75
53,3AM,Mads Langer,5638,0.7142857142857143
54,无赖,郑中基,40200,0.6666666666666666
55,I'm Always Here,Kelly Donovan,6678,0.8666666666666667
56,没忘,栗先达，陈雪凝,21558,0.9333333333333333
57,春庭雪,橙翼,4234,0.8571428571428571
58,失恋阵线联盟,草蜢,16503,0.7692307692307693
59,我们都爱过（《只因单身在一起》插曲）,郁可唯,1716,0.7333333333333333
60,如念,大乔小乔,1166,0.875
61,习惯说,陈奕迅,1807,0.8666666666666667
62,胆小鬼,梁咏琪,22552,0.5
63,十二,留声玩具,47520,0.8
64,八里公路,梁汉文,1085,0.8666666666666667
65,GIVE U MY TAPE,VISUDY，阿克江Akin,4613,0.9230769230769231
66,初恋情人,刘小慧,12437,1.0
67,后来的我们（电影《后来的我们》片名曲）,五月天,94491,0.9285714285714286
68,鸽子,徐秉龙,44098,0.6
69,我用自己的方式爱你,陈明真,1810,0.8888888888888888
70,小薇,黄品源,1667,0.9285714285714286
71,戒烟 (Live),李荣浩，陈立农，尤长靖，灵超，朱正廷，陆定昊，木子洋，杨非同,33525,0.8461538461538461
72,Fall in Love,Barcelona,1755,0.8
73,Rain Man,Wilcox,1721,1.0
74,无脚鸟,蛙婶，贰婶,7519,0.7333333333333333
75,I Took A Pill In Ibiza,Mark Neo，Grace Grundy,31068,0.9285714285714286
76,一辈子的孤单,刘若英,2722,0.8
77,Ophelia,The Lumineers,1564,0.7692307692307693
78,十指紧扣,张智霖,13188,0.4444444444444444
79,偏偏喜欢你,陈百强,35325,0.7
80,情人知己,叶蒨文,14640,0.8666666666666667
81,第一次,光良,35494,0.7272727272727273
82,Magic Waltz,Amedeo Tommasi,1872,0.7777777777777778
83,灰色轨迹（电影《追梦人》粤语插曲）,Beyond,2022,0.7333333333333333
84,再一起,余佳运,13314,0.5833333333333334
85,过不去,张惠妹,3880,0.8571428571428571
86,忘了你忘了我（电影《旺角卡门》歌曲）,王杰,6417,0.8888888888888888
87,I Can't Do Without U,Axero，Adam Christopher,3677,0.7777777777777778
88,忘记他（电影《堕落天使》插曲）,关淑怡,4110,0.8666666666666667
89,流着泪说分手,金志文,22578,0.8
90,让我欢喜让我忧,周华健,2083,1.0
91,Baby Tomorrow,Ghostly Kisses,1119,0.75
92,Remind Me to Forget,Kygo，Miguel,2201,0.9285714285714286
93,虞美人,熙宝,1033,0.6923076923076923
94,喜欢你,G.E.M.邓紫棋,28519,0.9285714285714286
95,特别的爱给特别的你,伍思凯,4966,0.9285714285714286
96,'Til Death,Barcelona,3724,0.6923076923076923
97,致橡树,程天意,6388,0.9166666666666666
98,午后红茶,张国荣,11767,0.8181818181818182
